AptName,AptAddress,BedroomNo,BathroomNo,Rent,Area,lat,lng,distanceToPurdue,crimeRate,grocery_w/n_.5mi,busStops_w/n_.1mi
2220 Roselawn,"2220 Roselawn, Lafayette IN 47905",3,1,700,700,40.42894747,-86.87064191,2.281135148,0,1,0
401 Harrison Street,"401 Harrison Street, West Lafayette IN 47906",4,1,330,1050,40.420222,-86.910466,0.355685411,5,3,4
222 Pierce Street,"222 Pierce St, West Lafayette IN 47906",6,2,3675,1859,40.42141587,-86.90903713,0.335216633,6,4,2
226 Pierce Street,"226 Pierce St, West Lafayette IN 47906",4,2,2500,1662,40.42136231,-86.90903564,0.337837735,6,4,2
14 N 2nd Street,"14 N 2nd St, Lafayette IN 47901",2,2,1500,1700,40.41751488,-86.89557714,1.074748682,5,3,1
515 Meridian-Close To Mackey,"515 Meridian St, West Lafayette IN 47906",3,1,1395,1000,40.43409659,-86.91199743,0.650977911,5,2,2
3303 Peppermill Drive,"3303 Peppermill Drive, West Lafayette IN 47906",1,1,607,625,40.46160816,-86.92612117,2.629758838,4,1,2
539 duroc c t  B,"539 Duroc Ct, Lafayette IN 47909",2,1,650,900,40.385733,-86.8925895,2.916321547,0,0,0
1424 Howell St.,"1424 Howell St., Lafayette IN 47904",3,1,550,933,40.43034579,-86.88192953,1.712870524,0,0,0
Sheetz Street Apartments,"217 Sheetz St, West Lafayette IN 47906",2,1,900,600,40.42178038,-86.91231087,0.217776485,6,3,1
Basham Rentals,"325 South Chauncey Avenue, West Lafayette IN 47906",2,2.5,695,1250,40.4197806,-86.90860478,0.434719943,5,4,3
Corner Duplex,"6001/2 Evergreen St, West Lafayette IN 47906",1,1,700,900,40.4323276,-86.9128293,0.524664864,6,2,3
417 N 11th St,"417 N 11th St, Lafayette IN 47904",2,1,500,700,40.42115207,-86.88485592,1.535378689,1,0,1
1013 S. 2Nd Street,"1013 S. 2nd Street, Lafayette IN 47904",3,1.5,675,1150,40.40663367,-86.89525118,1.583392279,0,0,0
The Fairway Apartments,"1314 Palmer Drive, West Lafayette IN 47906",3,3,1100,1294,40.45235104,-86.92814634,2.0536547,4,2,1
Riverwalk Apartment,"1714 North 9th Street, Lafayette IN 47904",2,2,680,780,40.4399631,-86.8858872,1.799129785,0,0,0
724 N Salisbury St.,"724 N Salisbury St., West Lafayette IN 47906",4,2,380,1600,40.43200839,-86.90562135,0.655137205,6,3,4
226 West Lutz Avenue,"226 W Lutz Ave, West Lafayette IN 47906",5,2,3375,1800,40.42890478,-86.90735836,0.437629841,6,5,1
2541 Neil Armstrong Drive,"2541 Neil Armstrong Drive, West Lafayette IN 47906",2,1,650,750,40.45387837,-86.92876594,2.163786814,4,2,0
339 1/2 Sylvia Street,"339 1/2 Sylvia Street, West Lafayette IN 47906",2,1,550,1000,40.42975882,-86.909077,0.42086407,6,5,1
426 Salisbury St,"426 N Salisbury St, West Lafayette IN 47906",6,2,1425,5000,40.42842123,-86.90555821,0.495138772,6,4,0
1215 N 13Th Street,"1215 N 13th St, Lafayette IN 47904",4,3,1295,2200,40.4293026,-86.88321535,1.631655137,0,0,0
46 N Salisbury St,"46 N Salisbury St, West Lafayette IN 47906",3,1,440,1800,40.42403165,-86.905507,0.431352909,6,5,0
Moskowitz Apartments,"329 Pearl St, West Lafayette IN 47906",5,2,380,2000,40.42836442,-86.90919858,0.341781114,6,5,2
1015 Hartford,"1015 Hartford St, Lafayette IN 47904",2,1,775,1100,40.42761268,-86.88558017,1.489876192,2,0,2
908 Northwestern Ave.,"908 Northwestern Ave, West Lafayette IN 47906",3,2,1671,1802,40.43435004,-86.9150988,0.667045694,5,2,0
M & K Rentals,"2410 Union St, Lafayette IN 47905",1,1,400,500,40.42485756,-86.86956314,2.319556437,0,1,0
2543 Neil Armstrong Drive,"2543 Neil Armstrong Drive, West Lafayette IN 47906",3,2,750,1200,40.4549763,-86.9304577,2.26772577,4,2,0
118 S. 7th St,"118 South 7th Street,  Lafayette IN 47904",3,1,660,950,40.41622861,-86.88865991,1.441087229,1,1,0
Westwood Apartments,"222 W Wood St, West Lafayette IN 47906",4,2,1580,1100,40.4212953,-86.906342,0.45301622,5,5,2
University Terrace,"130 East State Street, West Lafayette IN 47906",2,2,625,799,40.42301747,-86.90608294,0.415949598,6,5,0
621 S. 26th St.,"621 S 26th St, Lafayette IN 47904",3,2,850,2000,40.4112282,-86.8671031,2.62177136,0,0,0
116 Fowler,"116 Fowler, West Lafayette IN 47906",6,1,2587,3000,40.42758706,-86.90635925,0.430374605,6,4,2
1412 Howell St.,"1412 Howell St., Lafayette IN 47904",1,1,450,500,40.43034521,-86.88202626,1.707903333,0,0,0
Cherry Hill,"1428 Northwestern Ave, West Lafayette IN 47906",5,3,3000,2500,40.4398307,-86.91777685,1.063865883,3,0,0
917 North 9Th Street,"917 North 9th Street, Lafayette IN 47904",2,1,650,750,40.42594815,-86.88684623,1.41257864,2,0,3
611 N Salisbury St ,"611 N Salisbury St , West Lafayette IN 47906",3,2,1350,1533,40.43114496,-86.90580627,0.604045021,6,5,3
Southridge Commons (Deposit Paid),"2319 Old Romney Rd, Lafayette IN 47909",0,1,525,412,40.39410464,-86.91306098,2.119116235,0,1,0
Chauncey Townhomes,"224 South Chauncey Avenue, West Lafayette IN 47906",4,2.5,2440,1300,40.42116881,-86.90777653,0.396420614,6,5,0
403 Littleton St,"403 Littleton St, West Lafayette IN 47906",4,2,465,2500,40.42785227,-86.90323165,0.588232377,6,5,1
326 Northwestern Ave.,"326 Northwestern Ave., West Lafayette IN 47906",1,1,700,800,40.427325,-86.90958473,0.277672948,6,5,4
3983 Amelia Ave ,"3983 Amelia Ave, Lafayette IN 47905",3,1,825,1158,40.39816327,-86.83083518,4.729935208,0,0,0
2004 North Salisbury Street,"2004 N Salisbury St, West Lafayette IN 47906",4,1,1199,1900,40.447039,-86.914691,1.540643232,3,3,3
109 Connolly Street,"109 Connolly Street, West Lafayette IN 47906",3,1,1200,1500,40.43349791,-86.90497591,0.756805034,6,1,2
Mccormick Place Apts,"2110 McCormick Rd, West Lafayette IN 47906",3,3,400,1366,40.44782476,-86.94395319,2.254353267,2,0,0
1109 Tippecanoe Street,"1109 Tippecanoe Street, Lafayette IN 47904",6,2,1950,4500,40.42664404,-86.88405117,1.562671278,1,0,0
3716 Exeter Court,"3716 Exeter Court, Lafayette IN 47905",3,1,775,1075,40.42754023,-86.84521413,3.605697971,0,0,0
1723 Greenbush St,"1723 Greenbush, Lafayette IN 47905",1,1,450,700,40.43200218,-86.87859741,1.910802945,0,1,0
801 S 9th St,"801 S 9th St, Lafayette IN 47905",1,1,500,700,40.408743,-86.88633,1.814478389,0,0,0
715 N. 10Th St. Apt #2,"715 N 10th St, Lafayette IN 47904",3,2,750,1200,40.42385515,-86.88586465,1.463208615,2,0,4
1811 N. 13Th St.,"1811 N. 13th St., Lafayette IN 47904",5,2,1350,2700,40.43542087,-86.88336579,1.755278101,0,0,0
1014 Lindberg Rd,"1014 Lindberg Rd, West Lafayette IN 47906",0,1,495,600,40.44599622,-86.91954422,1.500005235,2,2,0
Parker Apartments,"615 North St, Lafayette IN 47901",1,1,330,1000,40.42087843,-86.890384,1.253192068,4,2,0
Ridgway Rentals-N 6Th St,"930 N 6th St, Lafayette IN 47904",1,1,415,500,40.42604783,-86.89083177,1.203786509,4,0,1
519 Erie,"519 Erie Street, Lafayette IN 47904",3,3,450,1510,40.422392,-86.88202,1.672211302,0,0,0
409 West Stadium,"409 West Stadium Avenue, West Lafayette IN 47906",2,1,880,861,40.43124293,-86.91065062,0.474889182,6,3,2
325 Jefferson Drive,"325 Jefferson Drive, West Lafayette IN 47906",3,2,450,1840,40.43539877,-86.90927519,0.770324504,5,2,0
320 Brown Street,"320 Brown Street, West Lafayette IN 47906",3,2,1110,1100,40.42456435,-86.8997056,0.733751152,6,5,0
122 Fowler Ave,"122 Fowler Ave, West Lafayette IN 47906",2,1,350,800,40.42759153,-86.90639005,0.429072147,6,4,2
House For Rent,"S 4th Street, Lafayette IN 47901",3,1,650,1000,40.405996,-86.8929548,1.693546563,0,0,0
119 S. 31st,"119 S 31st St, Lafayette IN 47904",2,1,600,1000,40.41581159,-86.86178209,2.798358382,0,1,0
Chauncey Hill North,"125 South St, West Lafayette IN 47906",2,4,500,1200,40.42381951,-86.90640001,0.386927473,6,5,1
118 Fowler Ave.,"118 FOWLER AVE, West Lafayette IN 47906",8,3,3450,4000,40.42758855,-86.90636952,0.429940188,6,4,2
Grant Street Station,"320 S. Grant Street, West Lafayette IN 47906",3,3,745,217,40.41972588,-86.91018255,0.392969727,5,3,5
305 N. Salisbury St.  Stratford II   Granite Mgmt,"305 N Salisbury St, West Lafayette IN 47906",4,2,1780,1056,40.42585914,-86.90574435,0.422749498,6,5,1
405 Maple St,"405 Maple St, West Lafayette IN 47906",3,1,1200,1000,40.42793127,-86.90449902,0.528896711,6,5,1
"Cole Property Management, Inc.","1626 Main St, Lafayette IN 47904",3,1,695,100,40.41710556,-86.87821184,1.93824686,0,0,0
Highland Park Place,"519 Owen Street, Lafayette IN 47905",1,1,850,840,40.40523473,-86.89144073,1.785283796,0,0,0
2849 Henderson,"2849 Henderson, West Lafayette IN 47906",4,3,1497,3000,40.45846018,-86.90694631,2.355577001,2,3,0
Fairway Apartments,"1314 Palmer Dr, West Lafayette IN 47906",3,3,433,1300,40.45235104,-86.92814634,2.0536547,4,2,1
136 East Stadium Avenue,"136 East Stadium Avenue, West Lafayette IN 47906",3,1,350,2071,40.430848,-86.90410485,0.655032852,6,2,2
818 N. 7th St.,"818 N 7th St, Lafayette IN 47904",3,1,750,900,40.42495986,-86.88961384,1.264666571,4,0,0
Harrison Square,"241 Sheetz Street, West Lafayette IN 47906",4,2,300,1000,40.42139096,-86.91230742,0.243454444,6,3,1
819 VINE ST,"819 Vine Street, West Lafayette IN 47906",4,4,475,2700,40.43305234,-86.90834404,0.637340239,6,2,0
401 S Chauncey Ave,"401 S Chauncey Ave, West Lafayette IN 47906",4,2,415,1400,40.418338,-86.909129,0.503686117,5,2,4
124 S 6th Street,"124 S 6th Street,  Lafayette IN 47901",3,2,1185,1900,40.415528,-86.890699,1.365859754,2,1,0
608 S.14Th St.,"608 S 14th St, Lafayette IN 47905",1,1,425,450,40.41108956,-86.88181952,1.923052004,0,0,0
120 Asher Street Apt 1,"120-1 Asher St, Lafayette IN 47905",1,1,425,725,40.41853442,-86.87914195,1.865972216,0,0,0
PRF,"125 N Waldron, West Lafayette IN 47906",3,3,600,1000,40.42551624,-86.91802371,0.235998915,5,0,2
